PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,HRHR,RBIRBI,BBBB,SOSO,caret-upcaret-downSBcaret-upcaret-downSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS

1HughH NicolNicolX1‌‌‌
1887,PHA,137,536,93,158,23,6,1,63,23,,84,--,.295,.326,.366,.692

1887,BSN,116,484,120,156,34,11,8,63,55,40,84,--,.322,.393,.488,.881
1896,CHI,122,469,114,153,21,16,4,92,65,24,84,--,.326,.414,.465,.879
1890,PHI,117,477,84,123,12,3,1,39,50,27,84,--,.258,.337,.302,.639
1896,BSN,131,524,153,192,24,10,3,55,110,29,83,--,.366,.478,.468,.946
1911,DET,146,591,147,248,47,24,8,127,44,,83,--,.420,.467,.621,1.088
1979,KC,154,588,113,185,18,13,6,49,28,92,83,12,.315,.351,.420,.771
1890,STL,133,548,137,192,28,9,6,69,66,,83,--,.350,.430,.467,.897
1888,CIN,127,527,112,169,28,14,13,103,17,,82,--,.321,.363,.501,.864
1888,WAS,136,503,77,138,10,8,2,29,69,48,82,--,.274,.374,.338,.712
1911,CIN,153,599,106,165,32,10,1,45,102,78,81,--,.275,.385,.367,.752
1910,PHA,153,581,81,188,16,15,3,81,49,,81,--,.324,.382,.418,.800
1988,STL,153,616,77,160,20,10,3,38,49,111,81,27,.260,.313,.339,.652
1986,CIN,132,415,97,115,15,3,27,71,68,100,80,11,.277,.378,.523,.901
1985,NYY,143,547,146,172,28,5,24,72,99,65,80,10,.314,.419,.516,.935
1888,IND,133,500,87,110,20,10,5,50,64,73,80,--,.220,.316,.330,.646
1889,CIN,122,474,82,121,7,8,2,58,54,35,80,--,.255,.338,.316,.654
1980,CIN,144,551,94,167,20,4,3,35,53,68,79,21,.303,.366,.370,.736
1980,KC,161,705,133,230,28,15,3,49,28,81,79,10,.326,.357,.421,.778
1890,BSR,128,543,146,149,23,14,4,61,86,84,79,--,.274,.377,.390,.767
1890,CPI,138,596,161,191,36,16,7,82,59,20,78,--,.320,.384,.470,.854
1982,MON,156,647,90,179,32,8,4,43,75,83,78,16,.277,.353,.369,.722
1892,LOU,153,660,105,150,16,8,2,45,47,94,78,--,.227,.284,.285,.569
1979,DET,148,600,110,180,22,10,9,57,52,95,78,14,.300,.355,.415,.770
1894,BAL,124,512,156,174,18,14,1,92,91,12,78,--,.340,.451,.436,.887
2007,NYM,160,681,119,191,36,12,12,57,77,78,78,21,.280,.354,.421,.775

1992,MON,159,653,99,180,39,6,14,66,42,81,78,13,.276,.322,.418,.740
1975,LA,155,618,108,162,24,6,8,41,91,93,77,12,.262,.358,.359,.717
1983,CWS,141,501,95,142,20,7,3,34,42,36,77,12,.283,.340,.369,.709
1899,BAL,147,536,104,158,18,10,3,75,56,,77,--,.295,.380,.382,.762
1989,OAK,150,541,113,148,26,3,12,57,126,68,77,14,.274,.411,.399,.810
1990,STL,124,497,73,145,18,9,6,39,35,88,77,17,.292,.340,.400,.740
1979,PIT,162,695,110,196,21,12,8,69,51,104,77,21,.282,.333,.381,.714
1890,RCH,119,445,111,109,12,6,3,34,78,,77,--,.245,.374,.319,.693
1909,DET,156,573,116,216,33,10,9,107,48,,76,--,.377,.431,.517,.948
1887,CLE,132,539,97,154,16,13,2,54,60,,76,--,.286,.358,.375,.733
1896,CIN,125,504,91,162,38,12,4,93,33,30,76,--,.321,.368,.468,.836
1890,CHI,139,571,114,159,15,13,13,99,64,44,76,--,.278,.353,.419,.772
1991,MON,148,558,73,149,23,9,6,39,34,89,76,17,.267,.310,.373,.683
1913,WAS,154,579,92,174,18,9,3,54,58,25,75,--,.301,.367,.378,.745
1996,CLE,154,662,132,210,35,4,14,67,61,82,75,17,.317,.372,.446,.818
1914,--,154,571,120,211,44,13,8,95,72,55,75,--,.370,.447,.534,.981
1891,BAL,139,566,136,180,14,15,9,83,71,46,75,--,.318,.398,.443,.841
1887,STL,125,430,102,131,32,4,1,74,92,,75,--,.305,.445,.405,.850
1984,MON,160,622,106,192,38,9,8,60,87,69,75,10,.309,.393,.437,.830
1976,OAK,154,590,91,163,20,5,2,31,73,95,75,29,.276,.356,.337,.693
1887,CIN,134,526,133,140,15,16,8,97,82,,74,--,.266,.369,.401,.770
1997,DET,162,658,112,177,29,7,4,45,66,121,74,18,.269,.334,.353,.687
1966,STL,156,643,94,183,24,12,15,46,31,134,74,18,.285,.320,.429,.749
1894,CHI,133,597,134,197,45,12,5,130,35,23,74,--,.330,.368,.471,.839
1914,NYY,150,548,78,131,23,9,2,47,76,69,74,17,.239,.334,.325,.659

1887,PHA,124,497,125,142,31,12,4,77,56,,74,--,.286,.366,.421,.787
1899,BAL,117,399,140,156,13,3,1,33,124,,73,--,.391,.547,.446,.993
1887,PHA,137,570,128,209,43,14,6,102,47,,73,--,.367,.421,.523,.944
1890,TOL,129,502,74,129,14,11,2,54,25,,73,--,.257,.296,.341,.637
1969,SEA,148,537,78,126,10,2,9,41,95,90,73,18,.235,.349,.311,.660
1896,BAL,118,487,116,165,29,4,1,101,42,15,73,--,.339,.400,.421,.821
1897,CHI,118,479,119,163,24,14,5,83,48,,73,--,.340,.406,.480,.886
1887,NYM,128,486,127,129,15,5,4,45,106,,73,--,.265,.403,.342,.745
1991,ATL,124,401,81,119,10,1,0,26,47,40,72,21,.297,.371,.327,.698
1888,STL,137,576,102,157,22,5,6,83,12,,72,--,.273,.292,.359,.651
1890,BAL,122,464,116,115,25,4,2,45,58,,72,--,.248,.372,.332,.704
