Rk,Mgr,Yrs,From,To,W,L,W-L%,Ties,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Ejections,Plyof App,WSwon,PennWon,ASG,,Player/Manager
180,Bill Donovan,4,1915,1921,245,301,0.449,6,-56,552,0,0,,4,8,5.5,5,0,0,0,0,as player,plyr/mgr: 1915-1916
181,Patsy Donovan,11,1897,1911,684,879,0.438,34,-195,1597,0,0,,4,8,6,6,0,0,0,0,as player,plyr/mgr: 1897-1907
182,Red Dooin,5,1910,1914,392,370,0.514,13,22,775,0,0,,2,6,4.2,21,0,0,0,0,as player,plyr/mgr: 1910-1914
183,Mike Dorgan,3,1879,1881,67,70,0.489,1,-3,138,0,0,,2,8,6,0,0,0,0,0,as player,plyr/mgr: 1879-1881
184,Eddie Douglass,3,1923,1925,45,61,0.425,3,-16,109,0,0,,3,6,4.8,,0,0,0,0,as player,
185,Tommy Dowd,2,1896,1897,31,60,0.341,1,-29,92,0,0,,11,12,11.3,0,0,0,0,0,as player,plyr/mgr: 1896-1897
186,Bunny Downs,1,1943,1943,25,29,0.463,2,-4,56,0,0,,6,6,6,,0,0,0,0,as player,
187,Jack Doyle,2,1895,1898,40,40,0.5,1,0,81,0,0,,9,11,9.4,2,0,0,0,0,as player,plyr/mgr: 1895-1898
188,Reinaldo Drake,1,1947,1947,4,9,0.308,1,-5,14,0,0,,5,5,5,,0,0,0,0,as player,
189,Chuck Dressen,16,1934,1966,1008,973,0.509,9,35,1990,5,8,0.385,1,8,4.5,18,2,0,2,1,as player,
190,Hugh Duffy HOF,8,1901,1922,535,671,0.444,15,-136,1221,0,0,,4,8,5.8,10,0,0,0,0,as player,plyr/mgr: 1901-1906
191,Frank Duncan,3,1926,1928,19,59,0.244,0,-40,78,0,0,,6,8,6.7,,0,0,0,0,as player,
192,Frank Duncan,6,1942,1947,281,212,0.57,7,69,500,7,4,0.636,1,4,2,,2,1,2,0,as player,
193,Fred Dunlap,4,1882,1889,145,102,0.587,5,43,252,0,0,,1,8,4.5,0,0,0,1,0,as player,plyr/mgr: 1882-1889
194,Jake Dunn,2,1939,1940,40,40,0.5,1,0,81,2,3,0.4,4,6,4.7,,1,0,0,0,as player,
195,Leo Durocher HOF,24,1939,1973,2008,1709,0.54,22,299,3739,7,8,0.467,1,10,3.2,100,3,1,3,4,as player,plyr/mgr: 1939-1945
196,Frank Dwyer,1,1902,1902,52,83,0.385,2,-31,137,0,0,,7,7,7,0,0,0,0,0,as player,
197,Eddie Dyer,5,1946,1950,446,325,0.578,6,121,777,4,3,0.571,1,5,2.4,6,1,1,1,1,as player,
198,Jimmy Dykes,21,1934,1961,1406,1541,0.477,15,-135,2962,0,0,,3,8,5.1,51,0,0,0,0,as player,plyr/mgr: 1934-1939
199,Charlie Ebbets,1,1898,1898,38,68,0.358,4,-30,110,0,0,,10,10,10,0,0,0,0,0,,
200,Doc Edwards,3,1987,1989,173,207,0.455,0,-34,380,0,0,,6,7,6.2,2,0,0,0,0,as player,
201,Mack Eggleston,1,1925,1925,7,12,0.368,2,-5,21,0,0,,7,7,7,,0,0,0,0,as player,
202,Kid Elberfeld,1,1908,1908,27,71,0.276,0,-44,98,0,0,,8,8,8,4,0,0,0,0,as player,plyr/mgr: 1908
203,Lee Elia,4,1982,1988,238,300,0.442,1,-62,539,0,0,,4,6,5.1,9,0,0,0,0,as player,
204,Joe Ellick,1,1884,1884,6,6,0.5,1,0,13,0,0,,5,5,5,0,0,0,0,0,as player,plyr/mgr: 1884
205,Bob Elliott,1,1960,1960,58,96,0.377,1,-38,155,0,0,,8,8,8,0,0,0,0,0,as player,
