last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Bickford, Phil,641360,94.1,,,83.3,,,,
Manning, Matt,666159,93.2,92.8,,83.7,86.2,79.7,,
Romano, Jordan,605447,96.9,96.5,,87.3,,,,
Gallegos, Giovanny,606149,94.3,,,85.5,87.1,,,
Bass, Anthony,542914,95,95.4,,86.6,,,86.7,
Smith, Will,519293,92.1,,,81.7,87.4,76.9,,
Brasier, Ryan,518489,95.9,96.1,,85.5,88.1,,,
López, Reynaldo,625643,97.1,,,87.4,85.9,80.4,,
Oviedo, Johan,670912,96,,,85.7,88.8,78.4,,
Iglesias, Raisel,628452,95,94.8,,84.1,88.7,,,
Krehbiel, Joey,607216,94.4,,86.3,79.8,84.3,,,
Holmes, Clay,605280,98,97,,86,,,,
Sewald, Paul,623149,92.5,,,82.8,,,,
Poche, Colin,621363,93.2,,,82.1,,78.8,,
Luetge, Lucas,476595,,,87.6,77.4,,73.5,,
Shaw, Bryan,543766,,92.4,92.9,84.3,81.8,82.7,,
Okert, Steven,595345,93.7,,,82,,,,
Loup, Aaron,571901,,91.2,84.7,,80.3,76,,
Faedo, Alex,656412,92.7,,,85,86.2,,,
García, Luis,472610,97.4,98.7,,82.7,,,88.8,
Bellatti, Andrew,571479,94.4,,,85.9,89.5,,,
Helsley, Ryan,664854,99.6,,,89.1,89.7,80.7,,
Foley, Jason,671345,96.1,96.3,,85.5,89.5,,,
Trivino, Lou,642152,95.6,95.8,92.3,81.9,87.4,76.8,,
Bard, Daniel,453268,97.8,98,,88.4,90.2,,,
Payamps, Joel,606303,94.8,94.3,,82.2,88.9,,,
Hughes, Brandon,676714,93.2,93.2,,82.9,85.3,,,
Vesia, Alex,681911,94.1,,,85,85.6,,,
Hendriks, Liam,521230,97.6,,,89,,85.8,,
Hentges, Sam,656529,95.7,95.7,,88,,81.3,,
Stephens, Jackson,623451,94.1,94,,86.9,85.9,76.8,,
